;Team_id;Year;Week;Team;Manager;FGM;FGA;FG%;FTM;FTA;FT%;3PTM;PTS;REB;AST;ST;BLK;TO;GP;Win;Score;Matchup_Wins;Week_Result
46;7;2020;6;Jonas's Crazy Team;Jonas;250;495;0.505;148;189;0.783;65;713;156;115;30;18;-74;42;0;26.0;1.0;0
47;8;2020;6;Antonio's Team;Antonio;277;574;0.483;129;144;0.896;104;787;212;165;28;15;-81;41;0;34.5;5.0;0
48;1;2020;7;Falmaravilhas;Joao;294;617;0.476;140;167;0.838;77;805;225;188;25;28;-95;44;0;25.0;2.0;0
49;2;2020;7;Goat James;Nicholas;291;589;0.494;163;188;0.867;94;839;240;241;44;29;-87;46;1;48.0;6.0;1
50;3;2020;7;Chino Hills;Gabriel;287;591;0.486;101;127;0.795;92;767;272;135;42;40;-100;48;0;27.0;3.0;0
51;4;2020;7;stayfreak7;Manoel;312;581;0.537;112;151;0.742;49;785;304;201;41;26;-103;46;0;28.5;2.5;0
52;5;2020;7;Jimmy's Team;James;289;586;0.493;106;138;0.768;90;774;312;142;39;36;-81;46;1;33.0;4.0;1
53;6;2020;7;Hard KAT Maniacs;Fis;255;514;0.496;97;136;0.713;56;663;273;158;45;45;-69;49;1;35.0;6.0;1
54;7;2020;7;Jonas's Crazy Team;Jonas;282;639;0.441;176;212;0.83;61;801;202;162;36;26;-89;45;0;20.5;0.5;0
55;8;2020;7;Antonio's Team;Antonio;301;617;0.488;114;129;0.884;95;811;232;160;28;20;-70;48;1;35.0;4.0;1
